date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:18	19500/19500	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202019%2012:23:51%20GMT	https://www.polestarholdings.com/our-specialization/others/	E:/Santanu/grab/polestar/www.polestarholdings.com/our-specialization/others/index.html	(from https://www.polestarholdings.com/)
17:54:18	32262/32262	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202019%2012:23:53%20GMT	https://www.polestarholdings.com/transactions/	E:/Santanu/grab/polestar/www.polestarholdings.com/transactions/index.html	(from https://www.polestarholdings.com/)
17:54:18	28807/28807	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202019%2012:24:11%20GMT	https://www.polestarholdings.com/team-profile/	E:/Santanu/grab/polestar/www.polestarholdings.com/team-profile/index.html	(from https://www.polestarholdings.com/)
17:54:18	147084/147084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2238394ca16133f78363850eb0ebc16c36%22	https://assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot	E:/Santanu/grab/polestar/assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot	(from https://assets.jimstatic.com/web.css.133312a193e3b4cce366ae56405b32cf.css)
17:54:19	25097/25097	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202019%2012:24:17%20GMT	https://www.polestarholdings.com/team-profile/abhijit-rao/	E:/Santanu/grab/polestar/www.polestarholdings.com/team-profile/abhijit-rao/index.html	(from https://www.polestarholdings.com/)
17:54:19	147084/147084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2238394ca16133f78363850eb0ebc16c36%22	https://assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot?	E:/Santanu/grab/polestar/assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36d41d.eot	(from https://assets.jimstatic.com/web.css.133312a193e3b4cce366ae56405b32cf.css)
17:54:19	26070/26070	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202019%2012:24:17%20GMT	https://www.polestarholdings.com/team-profile/sanjay-singh/	E:/Santanu/grab/polestar/www.polestarholdings.com/team-profile/sanjay-singh/index.html	(from https://www.polestarholdings.com/)
17:54:19	146948/146948	---M--	200	added ('OK')	application/font-woff	etag:%22a984717a9f4ef00fa217fc58c3ff86a6%22	https://assets.jimstatic.com/a984717a9f4ef00fa217fc58c3ff86a6.woff	E:/Santanu/grab/polestar/assets.jimstatic.com/a984717a9f4ef00fa217fc58c3ff86a6.woff	(from https://assets.jimstatic.com/web.css.133312a193e3b4cce366ae56405b32cf.css)
17:54:19	146872/146872	---M-Z	200	added ('OK')	application/font-sfnt	etag:%2292d755b23dfbe5bd5ac566c8df9e7827%22	https://assets.jimstatic.com/92d755b23dfbe5bd5ac566c8df9e7827.ttf	E:/Santanu/grab/polestar/assets.jimstatic.com/92d755b23dfbe5bd5ac566c8df9e7827.ttf	(from https://assets.jimstatic.com/web.css.133312a193e3b4cce366ae56405b32cf.css)
17:54:19	24423/24423	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202019%2012:24:18%20GMT	https://www.polestarholdings.com/team-profile/vikas-maskeri/	E:/Santanu/grab/polestar/www.polestarholdings.com/team-profile/vikas-maskeri/index.html	(from https://www.polestarholdings.com/)
